Time,Main Warning,Sub Warning,Full Warning,Warning Text,WarnMsg,Value0
08/10/2014 13:36:33,20,50,20 : 50,Measurement Trancducer : Undervoltage U,FALSE,0
08/10/2014 13:36:33,0,0,0 : 0,RTU,FALSE,0
08/10/2014 14:56:25,20,50,20 : 50,Measurement Trancducer : Undervoltage U,FALSE,0
08/10/2014 14:56:26,0,0,0 : 0,RTU,FALSE,0
08/10/2014 16:38:16,20,50,20 : 50,Measurement Trancducer : Undervoltage U,FALSE,0
08/10/2014 16:38:17,0,0,0 : 0,RTU,FALSE,0
08/10/2014 18:03:21,20,50,20 : 50,Measurement Trancducer : Undervoltage U,FALSE,0
08/10/2014 18:03:21,0,0,0 : 0,RTU,FALSE,0
08/10/2014 19:04:03,20,50,20 : 50,Measurement Trancducer : Undervoltage U,FALSE,0
08/10/2014 19:04:04,0,0,0 : 0,RTU,FALSE,0
11/10/2014 17:15:05,20,50,20 : 50,Measurement Trancducer : Undervoltage U,FALSE,0
11/10/2014 17:15:05,0,0,0 : 0,RTU,FALSE,0
21/10/2014 20:13:35,20,52,20 : 52,Measurement Trancducer : Underfrequence F,FALSE,0
21/10/2014 20:13:35,0,0,0 : 0,RTU,FALSE,0
22/10/2014 18:06:39,20,52,20 : 52,Measurement Trancducer : Underfrequence F,FALSE,0
22/10/2014 18:06:40,0,0,0 : 0,RTU,FALSE,0
25/10/2014 07:48:56,240,1,240 : 1,Remote control PC,FALSE,0
26/10/2014 18:03:59,240,0,240 : 0,Remote control PC,FALSE,0
26/10/2014 18:04:00,20,50,20 : 50,Measurement Trancducer : Undervoltage U,FALSE,0
26/10/2014 18:04:01,0,0,0 : 0,RTU,FALSE,0
26/10/2014 18:04:01,20,50,20 : 50,Measurement Trancducer : Undervoltage U,FALSE,0
26/10/2014 18:04:01,0,0,0 : 0,RTU,FALSE,0
26/10/2014 18:04:01,20,52,20 : 52,Measurement Trancducer : Underfrequence F,FALSE,0
26/10/2014 18:04:02,0,0,0 : 0,RTU,FALSE,0
26/10/2014 18:04:02,20,51,20 : 51,Measurement Trancducer : Overvoltage U,FALSE,0
26/10/2014 18:04:02,0,0,0 : 0,RTU,FALSE,0
26/10/2014 18:04:02,20,50,20 : 50,Measurement Trancducer : Undervoltage U,FALSE,0
26/10/2014 18:04:02,0,0,0 : 0,RTU,FALSE,0
26/10/2014 18:04:03,20,50,20 : 50,Measurement Trancducer : Undervoltage U,FALSE,0
26/10/2014 18:04:03,0,0,0 : 0,RTU,FALSE,0
26/10/2014 18:04:03,20,51,20 : 51,Measurement Trancducer : Overvoltage U,FALSE,0
26/10/2014 18:04:04,0,0,0 : 0,RTU,FALSE,0
26/10/2014 18:04:04,20,50,20 : 50,Measurement Trancducer : Undervoltage U,FALSE,0
26/10/2014 18:04:04,0,0,0 : 0,RTU,FALSE,0
26/10/2014 18:04:04,20,50,20 : 50,Measurement Trancducer : Undervoltage U,FALSE,0
26/10/2014 18:04:05,0,0,0 : 0,RTU,FALSE,0
26/10/2014 18:04:05,20,50,20 : 50,Measurement Trancducer : Undervoltage U,FALSE,0
26/10/2014 18:04:05,0,0,0 : 0,RTU,FALSE,0
26/10/2014 18:04:05,20,50,20 : 50,Measurement Trancducer : Undervoltage U,FALSE,0
26/10/2014 18:04:06,0,0,0 : 0,RTU,FALSE,0
26/10/2014 18:04:06,20,51,20 : 51,Measurement Trancducer : Overvoltage U,FALSE,0
26/10/2014 18:04:06,0,0,0 : 0,RTU,FALSE,0
26/10/2014 18:04:06,20,50,20 : 50,Measurement Trancducer : Undervoltage U,FALSE,0
26/10/2014 18:04:07,0,0,0 : 0,RTU,FALSE,0
26/10/2014 18:04:07,20,51,20 : 51,Measurement Trancducer : Overvoltage U,FALSE,0
26/10/2014 18:04:07,0,0,0 : 0,RTU,FALSE,0
26/10/2014 18:04:07,20,50,20 : 50,Measurement Trancducer : Undervoltage U,FALSE,0
26/10/2014 18:04:08,0,0,0 : 0,RTU,FALSE,0
27/10/2014 01:55:42,20,50,20 : 50,Measurement Trancducer : Undervoltage U,FALSE,0
27/10/2014 01:55:43,0,0,0 : 0,RTU,FALSE,0
03/12/2014 17:47:12,20,52,20 : 52,Measurement Trancducer : Underfrequence F,FALSE,0
03/12/2014 17:47:12,0,0,0 : 0,RTU,FALSE,0
11/12/2014 01:37:10,20,53,20 : 53,Measurement Trancducer : Overfrequnce F,FALSE,0
11/12/2014 01:37:10,0,0,0 : 0,RTU,FALSE,0
26/12/2014 22:36:33,20,52,20 : 52,Measurement Trancducer : Underfrequence F,FALSE,0
26/12/2014 22:36:33,0,0,0 : 0,RTU,FALSE,0
06/01/2015 17:19:45,20,52,20 : 52,Measurement Trancducer : Underfrequence F,FALSE,0
06/01/2015 17:19:46,0,0,0 : 0,RTU,FALSE,0
07/01/2015 16:47:00,20,52,20 : 52,Measurement Trancducer : Underfrequence F,FALSE,0
07/01/2015 16:47:00,0,0,0 : 0,RTU,FALSE,0
09/01/2015 16:02:05,20,52,20 : 52,Measurement Trancducer : Underfrequence F,FALSE,0
09/01/2015 16:02:05,0,0,0 : 0,RTU,FALSE,0
12/01/2015 04:07:28,20,50,20 : 50,Measurement Trancducer : Undervoltage U,FALSE,0
12/01/2015 04:07:28,0,0,0 : 0,RTU,FALSE,0
15/01/2015 12:09:04,20,50,20 : 50,Measurement Trancducer : Undervoltage U,FALSE,0
15/01/2015 12:09:05,0,0,0 : 0,RTU,FALSE,0
19/01/2015 10:06:28,240,1,240 : 1,Remote control PC,FALSE,0
19/01/2015 10:50:08,240,0,240 : 0,Remote control PC,FALSE,0
19/01/2015 10:50:10,0,0,0 : 0,RTU,FALSE,0
19/01/2015 10:52:44,240,1,240 : 1,Remote control PC,FALSE,0
19/01/2015 15:06:17,240,0,240 : 0,Remote control PC,FALSE,0
19/01/2015 15:06:19,20,50,20 : 50,Measurement Trancducer : Undervoltage U,FALSE,0
19/01/2015 15:06:19,0,0,0 : 0,RTU,FALSE,0
19/01/2015 15:11:00,240,1,240 : 1,Remote control PC,FALSE,0
19/01/2015 15:14:31,240,0,240 : 0,Remote control PC,FALSE,0
19/01/2015 15:14:33,0,0,0 : 0,RTU,FALSE,0
19/01/2015 15:19:22,20,50,20 : 50,Measurement Trancducer : Undervoltage U,FALSE,0
19/01/2015 15:19:22,0,0,0 : 0,RTU,FALSE,0
19/01/2015 15:21:05,240,1,240 : 1,Remote control PC,FALSE,0
19/01/2015 15:24:37,240,0,240 : 0,Remote control PC,FALSE,0
19/01/2015 15:24:39,0,0,0 : 0,RTU,FALSE,0
19/01/2015 15:58:36,240,1,240 : 1,Remote control PC,FALSE,0
19/01/2015 16:00:37,240,0,240 : 0,Remote control PC,FALSE,0
19/01/2015 16:00:38,0,0,0 : 0,RTU,FALSE,0
21/01/2015 05:11:42,20,52,20 : 52,Measurement Trancducer : Underfrequence F,FALSE,0
21/01/2015 05:11:42,0,0,0 : 0,RTU,FALSE,0
22/01/2015 15:41:11,20,52,20 : 52,Measurement Trancducer : Underfrequence F,FALSE,0
22/01/2015 15:41:12,0,0,0 : 0,RTU,FALSE,0
02/02/2015 16:19:20,20,52,20 : 52,Measurement Trancducer : Underfrequence F,FALSE,0
02/02/2015 16:19:20,0,0,0 : 0,RTU,FALSE,0
05/02/2015 10:07:54,240,1,240 : 1,Remote control PC,FALSE,0
05/02/2015 10:10:34,240,0,240 : 0,Remote control PC,FALSE,0
05/02/2015 10:10:36,0,0,0 : 0,RTU,FALSE,0
05/02/2015 10:22:26,240,1,240 : 1,Remote control PC,FALSE,0
05/02/2015 10:25:09,240,0,240 : 0,Remote control PC,FALSE,0
05/02/2015 10:25:10,0,0,0 : 0,RTU,FALSE,0
10/02/2015 03:19:48,20,50,20 : 50,Measurement Trancducer : Undervoltage U,FALSE,0
10/02/2015 03:19:48,0,0,0 : 0,RTU,FALSE,0
10/02/2015 15:42:22,20,52,20 : 52,Measurement Trancducer : Underfrequence F,FALSE,0
10/02/2015 15:42:23,0,0,0 : 0,RTU,FALSE,0
12/02/2015 08:44:20,240,1,240 : 1,Remote control PC,FALSE,0
12/02/2015 09:05:36,240,0,240 : 0,Remote control PC,FALSE,0
12/02/2015 09:05:38,0,0,0 : 0,RTU,FALSE,0
21/02/2015 12:28:27,20,50,20 : 50,Measurement Trancducer : Undervoltage U,FALSE,0
21/02/2015 12:28:27,0,0,0 : 0,RTU,FALSE,0
23/02/2015 23:07:07,20,50,20 : 50,Measurement Trancducer : Undervoltage U,FALSE,0
23/02/2015 23:07:07,0,0,0 : 0,RTU,FALSE,0
26/02/2015 20:25:59,20,52,20 : 52,Measurement Trancducer : Underfrequence F,FALSE,0
26/02/2015 20:26:00,0,0,0 : 0,RTU,FALSE,0
27/02/2015 07:06:03,20,52,20 : 52,Measurement Trancducer : Underfrequence F,FALSE,0
27/02/2015 07:06:03,0,0,0 : 0,RTU,FALSE,0
04/03/2015 10:16:43,20,52,20 : 52,Measurement Trancducer : Underfrequence F,FALSE,0
04/03/2015 10:16:43,0,0,0 : 0,RTU,FALSE,0
08/03/2015 22:55:21,20,53,20 : 53,Measurement Trancducer : Overfrequnce F,FALSE,0
08/03/2015 22:55:21,0,0,0 : 0,RTU,FALSE,0
11/03/2015 19:46:07,20,52,20 : 52,Measurement Trancducer : Underfrequence F,FALSE,0
11/03/2015 19:46:07,0,0,0 : 0,RTU,FALSE,0
13/03/2015 20:27:23,20,52,20 : 52,Measurement Trancducer : Underfrequence F,FALSE,0
13/03/2015 20:27:23,0,0,0 : 0,RTU,FALSE,0
14/03/2015 16:47:56,20,52,20 : 52,Measurement Trancducer : Underfrequence F,FALSE,0
14/03/2015 16:47:56,0,0,0 : 0,RTU,FALSE,0
18/03/2015 12:44:12,20,52,20 : 52,Measurement Trancducer : Underfrequence F,FALSE,0
18/03/2015 12:44:12,0,0,0 : 0,RTU,FALSE,0
25/03/2015 16:19:15,20,52,20 : 52,Measurement Trancducer : Underfrequence F,FALSE,0
25/03/2015 16:19:16,0,0,0 : 0,RTU,FALSE,0
27/03/2015 20:58:03,20,53,20 : 53,Measurement Trancducer : Overfrequnce F,FALSE,0
27/03/2015 20:58:03,0,0,0 : 0,RTU,FALSE,0
31/03/2015 16:06:02,20,52,20 : 52,Measurement Trancducer : Underfrequence F,FALSE,0
31/03/2015 16:06:02,0,0,0 : 0,RTU,FALSE,0
