Time,Main Status,Sub Status,Full Status,Status Text,T,Service,FaultMsg,Value0
26/09/2014 11:48:22,100,5000,100 : 5000,Set point active power : Set point fault P,1,FALSE,FALSE,0
26/09/2014 11:48:22,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 11:48:22,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 11:48:23,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 11:48:28,100,87,100 : 87,Set point active power : Active power set point: 87%,1,FALSE,FALSE,0
26/09/2014 11:48:30,100,95,100 : 95,Set point active power : Active power set point: 95%,1,FALSE,FALSE,0
26/09/2014 11:48:32,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 11:48:32,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 11:48:35,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 11:48:39,100,83,100 : 83,Set point active power : Active power set point: 83%,1,FALSE,FALSE,0
26/09/2014 11:48:41,100,88,100 : 88,Set point active power : Active power set point: 88%,1,FALSE,FALSE,0
26/09/2014 11:48:43,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 11:48:56,100,88,100 : 88,Set point active power : Active power set point: 88%,1,FALSE,FALSE,0
26/09/2014 11:48:58,100,95,100 : 95,Set point active power : Active power set point: 95%,1,FALSE,FALSE,0
26/09/2014 11:49:00,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 11:49:00,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 11:49:02,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 11:49:06,100,83,100 : 83,Set point active power : Active power set point: 83%,1,FALSE,FALSE,0
26/09/2014 11:49:08,100,88,100 : 88,Set point active power : Active power set point: 88%,1,FALSE,FALSE,0
26/09/2014 11:49:10,100,95,100 : 95,Set point active power : Active power set point: 95%,1,FALSE,FALSE,0
26/09/2014 11:49:12,100,84,100 : 84,Set point active power : Active power set point: 84%,1,FALSE,FALSE,0
26/09/2014 11:49:14,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 11:49:39,100,84,100 : 84,Set point active power : Active power set point: 84%,1,FALSE,FALSE,0
26/09/2014 11:49:41,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 11:49:52,100,83,100 : 83,Set point active power : Active power set point: 83%,1,FALSE,FALSE,0
26/09/2014 11:49:54,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 11:50:03,100,83,100 : 83,Set point active power : Active power set point: 83%,1,FALSE,FALSE,0
26/09/2014 11:50:05,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 11:50:18,100,89,100 : 89,Set point active power : Active power set point: 89%,1,FALSE,FALSE,0
26/09/2014 11:50:20,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 11:50:28,100,88,100 : 88,Set point active power : Active power set point: 88%,1,FALSE,FALSE,0
26/09/2014 11:50:30,100,93,100 : 93,Set point active power : Active power set point: 93%,1,FALSE,FALSE,0
26/09/2014 11:50:32,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 11:50:32,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 11:50:36,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 11:50:38,100,84,100 : 84,Set point active power : Active power set point: 84%,1,FALSE,FALSE,0
26/09/2014 11:50:40,100,89,100 : 89,Set point active power : Active power set point: 89%,1,FALSE,FALSE,0
26/09/2014 11:50:42,100,95,100 : 95,Set point active power : Active power set point: 95%,1,FALSE,FALSE,0
26/09/2014 11:50:44,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 11:50:44,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 11:50:49,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 11:50:54,100,83,100 : 83,Set point active power : Active power set point: 83%,1,FALSE,FALSE,0
26/09/2014 11:50:56,100,90,100 : 90,Set point active power : Active power set point: 90%,1,FALSE,FALSE,0
26/09/2014 11:50:58,100,96,100 : 96,Set point active power : Active power set point: 96%,1,FALSE,FALSE,0
26/09/2014 11:51:00,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 11:51:00,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 11:51:02,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 11:51:07,100,83,100 : 83,Set point active power : Active power set point: 83%,1,FALSE,FALSE,0
26/09/2014 11:51:09,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 11:51:34,100,83,100 : 83,Set point active power : Active power set point: 83%,1,FALSE,FALSE,0
26/09/2014 11:51:36,100,87,100 : 87,Set point active power : Active power set point: 87%,1,FALSE,FALSE,0
26/09/2014 11:51:38,100,92,100 : 92,Set point active power : Active power set point: 92%,1,FALSE,FALSE,0
26/09/2014 11:51:40,100,97,100 : 97,Set point active power : Active power set point: 97%,1,FALSE,FALSE,0
26/09/2014 11:51:42,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 11:51:42,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 11:51:58,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 11:52:00,100,83,100 : 83,Set point active power : Active power set point: 83%,1,FALSE,FALSE,0
26/09/2014 11:52:02,100,87,100 : 87,Set point active power : Active power set point: 87%,1,FALSE,FALSE,0
26/09/2014 11:52:04,100,92,100 : 92,Set point active power : Active power set point: 92%,1,FALSE,FALSE,0
26/09/2014 11:52:06,100,99,100 : 99,Set point active power : Active power set point: 99%,1,FALSE,FALSE,0
26/09/2014 11:52:08,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 11:52:08,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 11:52:12,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 11:52:15,100,83,100 : 83,Set point active power : Active power set point: 83%,1,FALSE,FALSE,0
26/09/2014 11:52:17,100,89,100 : 89,Set point active power : Active power set point: 89%,1,FALSE,FALSE,0
26/09/2014 11:52:19,100,83,100 : 83,Set point active power : Active power set point: 83%,1,FALSE,FALSE,0
26/09/2014 11:52:21,100,87,100 : 87,Set point active power : Active power set point: 87%,1,FALSE,FALSE,0
26/09/2014 11:52:23,100,92,100 : 92,Set point active power : Active power set point: 92%,1,FALSE,FALSE,0
26/09/2014 11:52:25,100,98,100 : 98,Set point active power : Active power set point: 98%,1,FALSE,FALSE,0
26/09/2014 11:52:27,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
26/09/2014 11:52:27,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
26/09/2014 11:52:47,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 11:53:11,100,83,100 : 83,Set point active power : Active power set point: 83%,1,FALSE,FALSE,0
26/09/2014 11:53:13,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
26/09/2014 11:53:23,100,83,100 : 83,Set point active power : Active power set point: 83%,1,FALSE,FALSE,0
26/09/2014 11:53:25,100,89,100 : 89,Set point active power : Active power set point: 89%,1,FALSE,FALSE,0
26/09/2014 11:53:27,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
